    valid_time    lat       lon      min_slp    trk_err
0   2022071700  14.50 -104.6875  1002.263438  12.446491
1   2022071706  15.00 -105.3125  1003.221797   7.862654
2   2022071712  15.75 -106.2500   995.921563  25.198493
3   2022071718  16.50 -107.8125   995.695547  43.170417
4   2022071800  16.75 -109.0625   991.814687  57.376071
5   2022071806  17.00 -110.0000   993.182734  49.308417
6   2022071812  17.25 -111.2500   988.069531  54.173667
7   2022071818  17.50 -112.1875   994.763984  39.599435
8   2022071900  18.00 -113.1250   995.187578  13.968347
9   2022071906  18.50 -114.3750   998.885391  11.636651
10  2022071912  19.25 -115.6250   998.271094  40.227378
11  2022071918  19.75 -117.1875  1001.215469  57.032477
12  2022072000  20.25 -118.7500  1000.837813  77.577761
13  2022072006  20.50 -120.3125  1004.730937  85.306114
14  2022072012  21.00 -121.8750  1004.977500  99.715034
