    valid_time    lat       lon      min_slp     trk_err
0   2022071800  16.50 -108.7500  1003.017187   37.422161
1   2022071806  17.00 -109.3750  1003.815781   20.622907
2   2022071812  17.75 -110.3125  1000.411328   11.133471
3   2022071818  18.50 -111.5625  1000.202578   30.774324
4   2022071900  19.00 -112.8125   996.006406   49.207043
5   2022071906  19.50 -114.3750   998.133984   66.793280
6   2022071912  20.00 -115.9375   998.056406   86.264517
7   2022071918  20.50 -117.5000  1001.367891   98.903383
8   2022072000  21.00 -118.7500  1002.112344   96.799821
9   2022072006  21.50 -120.3125  1006.892031  107.497612
10  2022072012  22.25 -121.8750  1007.207656  128.037164
11  2022072018  22.50 -123.4375  1010.765938  121.796779
