   FCST_HR     03/00Z     04/00Z
0      0.0  14.299824  10.220135
1      6.0  18.013578  14.066783
2     12.0   9.046861  21.270856
3     18.0  15.775247  24.343796
4     24.0  38.119147  56.455334
5     30.0  78.466242  81.061102
6     36.0  77.854880        NaN
7     42.0  61.565871        NaN
8     48.0  45.520748        NaN
9     54.0  18.106056        NaN
