   FCST_HR     03/00Z     04/00Z       mean
0      0.0  14.299824  10.220135  12.259979
1      6.0  18.013578  14.066783  16.040180
2     12.0   9.046861  21.270856  15.158859
3     18.0  15.775247  24.343796  20.059521
4     24.0  38.119147  56.455334  47.287240
5     30.0  78.466242  81.061102  79.763672
6     36.0  77.854880        NaN  77.854880
7     42.0  61.565871        NaN  61.565871
8     48.0  45.520748        NaN  45.520748
9     54.0  18.106056        NaN  18.106056
