   FCST_HR      14/00Z     15/00Z
0      0.0   24.002647  17.465626
1      6.0    9.965979  35.206223
2     12.0   22.541658  15.102638
3     18.0   42.663678  19.371119
4     24.0   72.469218  21.176299
5     30.0   46.608749        NaN
6     36.0   59.534593        NaN
7     42.0   97.846007        NaN
8     48.0  108.022110        NaN
