    valid_time    lat       lon      min_slp     trk_err
0   2022072900  12.75 -111.5625   997.523594   21.481176
1   2022072906  13.00 -112.1875  1002.481562   28.945567
2   2022072912  13.50 -112.8125   998.043516   38.098539
3   2022072918  13.75 -113.4375  1000.937031   45.740144
4   2022073000  14.50 -114.0625   996.175313   26.625174
5   2022073006  15.25 -114.3750   998.749141   41.837766
6   2022073012  16.50 -115.3125   996.658047   33.368234
7   2022073018  17.25 -117.1875   997.592266   43.218628
8   2022073100  17.50 -118.1250   995.444531   47.611685
9   2022073106  18.00 -119.0625   995.483281   52.405356
10  2022073112  18.50 -119.6875   991.936406   45.889187
11  2022073118  19.25 -120.6250   993.115156   53.956149
12  2022080100  20.00 -121.5625   991.338125   69.773142
13  2022080106  20.50 -122.1875   995.181875   73.319993
14  2022080112  20.75 -123.1250   994.553594   91.150599
15  2022080118  21.00 -123.7500   999.521016   93.900546
16  2022080200  21.25 -123.7500  1003.913437  105.409898
17  2022080206  21.75 -123.7500  1008.838750  116.774723
18  2022080212  22.25 -123.7500  1009.160938  149.016180
