    valid_time    lat       lon      min_slp     trk_err
0   2022073000  15.25 -114.0625   993.706406   33.364338
1   2022073006  15.25 -115.3125   985.380234   27.728127
2   2022073012  15.75 -115.9375   981.977266   28.162065
3   2022073018  16.25 -116.5625   989.509531   33.095369
4   2022073100  17.00 -116.8750   985.330781   43.492420
5   2022073106  17.75 -117.5000   989.982188   51.847210
6   2022073112  18.25 -118.1250   984.524063   63.273709
7   2022073118  18.75 -118.7500   988.219453   82.448687
8   2022080100  19.75 -119.0625   985.309375   84.929649
9   2022080106  20.50 -119.6875   988.555703   97.496626
10  2022080112  21.50 -120.3125   988.495391  109.463529
11  2022080118  22.25 -121.2500   994.063203   97.618702
12  2022080200  23.25 -122.1875   995.723750   79.430123
13  2022080206  24.00 -122.8125  1001.221016   90.461653
14  2022080212  24.00 -123.7500  1005.333125   77.740204
15  2022080218  24.00 -123.7500  1010.712266  124.065844
