    valid_time    lat       lon      min_slp     trk_err
0   2022072800  13.00 -107.5000  1004.140547   24.018104
1   2022072806  13.00 -108.4375  1003.792656   12.553848
2   2022072812  13.25 -109.6875  1000.747969   15.859390
3   2022072818  13.50 -110.6250  1002.045234   36.056787
4   2022072900  13.75 -111.5625   999.725312   47.573051
5   2022072906  14.00 -112.5000  1003.463281   58.608115
6   2022072912  14.25 -113.1250   999.948984   31.863386
7   2022072918  14.00 -114.0625   997.909297   53.577514
8   2022073000  14.25 -114.6875   996.642031   37.012256
9   2022073006  14.75 -115.3125   997.009375   54.156116
10  2022073012  15.00 -115.6250   995.343672   72.761601
11  2022073018  16.00 -116.5625   993.764453   48.084750
12  2022073100  16.50 -117.5000   989.364219   67.040197
13  2022073106  17.00 -118.1250   987.673594   78.176706
14  2022073112  17.50 -118.7500   983.209141   85.264253
15  2022073118  18.25 -119.3750   983.520625   90.347996
16  2022080100  18.75 -120.3125   983.169531   99.198263
17  2022080106  19.25 -120.9375   986.914141  123.977437
18  2022080112  19.50 -121.5625   987.552969  154.321134
19  2022080118  20.00 -122.5000   991.921875  146.801275
20  2022080200  20.50 -122.8125   995.178828  156.404641
21  2022080206  20.75 -122.8125  1006.483516  192.547382
22  2022080212  21.25 -122.8125  1007.502578  227.586122
