    FCST_HR      29/00Z     30/00Z
0       0.0    9.940912  20.587032
1       6.0   21.423829   9.425163
2      12.0   31.070771  21.802022
3      18.0   52.747197  29.230006
4      24.0   80.363645  47.729614
5      30.0  105.438804  79.428756
6      36.0  142.933380  91.995671
7      42.0  198.493519  91.995671
8      48.0  232.791050        NaN
9      54.0  231.890952        NaN
10     60.0  248.146412        NaN
11     60.0  248.146412        NaN
