   FCST_HR     19/00Z     20/00Z       mean
0      0.0  16.047545  22.152108  19.099827
1      6.0  25.036023  27.793413  26.414718
2     12.0   6.958362  25.936760  16.447561
3     18.0  42.610590  24.616424  33.613507
4     24.0  66.875797  24.616424  45.746111
5     30.0  69.140057        NaN  69.140057
6     36.0  84.412139        NaN  84.412139
7     42.0  93.072756        NaN  93.072756
8     42.0  93.072756        NaN  93.072756
