   FCST_HR     19/00Z     20/00Z
0      0.0  16.047545  22.152108
1      6.0  25.036023  27.793413
2     12.0   6.958362  25.936760
3     18.0  42.610590  24.616424
4     24.0  66.875797  24.616424
5     30.0  69.140057        NaN
6     36.0  84.412139        NaN
7     42.0  93.072756        NaN
8     42.0  93.072756        NaN
