   valid_time    lat       lon      min_slp    trk_err
0  2022071500  17.25 -142.8125  1008.008281  11.077315
1  2022071506  17.75 -144.0625  1011.513125  21.125185
2  2022071512  18.00 -145.9375  1011.348438  42.967085
3  2022071518  18.00 -147.5000  1013.218281  46.673626
4  2022071600  18.00 -149.3750  1013.090859  53.155654
5  2022071606  18.00 -151.2500  1014.462500  62.070976
6  2022071612  17.75 -153.1250  1013.760781  44.121400
7  2022071618  17.50 -155.0000  1015.126797  31.034902
