    valid_time    lat       lon      min_slp    trk_err
0   2022071200  14.75 -125.9375  1006.311094   3.708635
1   2022071206  15.00 -127.1875  1009.024219  21.831228
2   2022071212  14.75 -129.0625  1006.018438   4.710349
3   2022071218  14.50 -130.0000  1006.826250  29.673622
4   2022071300  14.75 -131.2500  1004.370625  44.486140
5   2022071306  14.75 -132.8125  1006.648203  29.715031
6   2022071312  15.00 -134.0625  1003.003125  38.892231
7   2022071318  15.25 -135.6250  1005.969922  23.524327
8   2022071400  15.75 -136.8750  1004.034141  37.238222
9   2022071406  16.00 -138.1250  1004.757656  44.732361
10  2022071412  16.25 -139.3750  1004.102734  49.842141
11  2022071418  16.50 -140.6250  1007.610937  50.631516
12  2022071500  16.75 -142.1875  1007.237344  48.873596
13  2022071506  17.00 -143.7500  1010.204141  31.303546
14  2022071512  17.00 -145.3125  1009.216875  30.439034
