    valid_time    lat       lon      min_slp     trk_err
0   2022061600  15.00 -103.4375   996.443125   14.413764
1   2022061606  15.25 -103.7500   996.670078   21.214181
2   2022061612  15.50 -104.6875   991.503906   28.748380
3   2022061618  16.00 -105.6250   990.276641   30.302577
4   2022061700  16.25 -106.5625   990.733984   33.641795
5   2022061706  16.75 -107.5000   992.748594   34.624433
6   2022061712  17.25 -108.4375   993.886406   21.125365
7   2022061718  18.00 -109.0625   998.120859   48.921492
8   2022061800  18.50 -110.0000   998.902344   60.316197
9   2022061806  19.00 -111.2500  1003.058672   88.995093
10  2022061812  19.25 -111.8750  1002.504141  101.559857
11  2022061818  19.50 -112.8125  1004.716719  112.133877
