   FCST_HR     01/00Z      02/00Z     03/00Z       mean
0      0.0  24.070674   14.018042  15.182680  17.757132
1      6.0   7.419899   15.434912   5.784286   9.546366
2     12.0   7.415200   33.032648  14.976229  18.474692
3     18.0  37.238222   54.301832        NaN  45.770027
4     24.0  49.816887   58.963804        NaN  54.390345
5     30.0  57.421506   74.871894        NaN  66.146700
6     36.0  35.150484  107.668462        NaN  71.409473
7     42.0  37.365217         NaN        NaN  37.365217
8     48.0  15.182680         NaN        NaN  15.182680
