   FCST_HR      20/00Z     21/00Z     22/00Z        mean
0      0.0    9.752123  49.160850  18.855165   25.922712
1      6.0   21.211578  36.331764  12.183146   23.242163
2     12.0    9.604246  59.927682  22.356070   30.629333
3     18.0   16.586690  37.326718        NaN   26.956704
4     24.0   28.331016  21.994613        NaN   25.162815
5     30.0   58.828509  12.183146        NaN   35.505828
6     36.0   76.197996  66.799186        NaN   71.498591
7     42.0   83.787522        NaN        NaN   83.787522
8     48.0  130.367613        NaN        NaN  130.367613
